Item,Item-Total Correlation,Alpha if Deleted
hesitation_to_participate,0.535,0.749
respected_by_group,0.428,0.755
perspective_inclusion,0.614,0.739
mistake_safety_in_group,0.629,0.734
input_not_considered,0.31,0.777
comfort_asking_questions,0.479,0.755
meaningful_role,0.572,0.741
non_valuable_contribution,0.735,0.724
community_work_valuable,0.318,0.761
comfortable_sharing_ideas,0.657,0.73
feel_ignored,0.335,0.761
community_partners_inclusion,0.472,0.751
community_partners_understanding,0.548,0.743
lack_of_interaction_with_partners,0.438,0.757
do_patners_help,0.331,0.762
